City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,jinjiang,24.8198,118.5741,16.68,74,100,6.33,CN,1706848121
1,maceio,-9.6658,-35.7353,25.69,94,75,1.54,BR,1706848121
2,port mathurin,-19.6833,63.4167,27.48,82,27,11.3,MU,1706848121
3,chegdomyn,51.1167,133.0167,-22.57,81,17,0.94,RU,1706848121
4,dudinka,69.4058,86.1778,-13.54,91,100,11.59,RU,1706848121
5,blackmans bay,-43.0167,147.3167,19.29,36,10,2.24,AU,1706848121
6,adamstown,-25.066,-130.1015,24.91,87,65,8.7,PN,1706847945
7,castillos,-34.1667,-53.8333,18.88,93,0,2.8,UY,1706848122
8,rohru,31.2167,77.75,4.21,57,0,1.07,IN,1706848123
9,smithers,54.7804,-127.1743,2.18,100,100,1.03,CA,1706847913
10,serdar,38.9764,56.2757,1.29,77,68,3.25,TM,1706848123
11,albany,42.6001,-73.9662,2.6,83,100,1.31,US,1706848123
12,port alfred,-33.5906,26.891,20.1,99,70,6.01,ZA,1706848123
13,lucapa,-8.4192,20.7447,18.78,98,100,1.26,AO,1706848123
14,port-aux-francais,-49.35,70.2167,7.53,88,34,8.16,TF,1706848123
15,grytviken,-54.2811,-36.5092,2.87,71,6,3.86,GS,1706848124
16,malvan,16.0667,73.4667,23.8,62,94,3.44,IN,1706848124
17,vorkuta,67.5,64.0,-10.29,84,100,2.64,RU,1706848124
18,coari,-4.085,-63.1414,23.24,99,100,1.38,BR,1706848124
19,edinburgh of the seven seas,-37.0676,-12.3116,19.0,95,98,7.64,SH,1706848124
20,happy valley-goose bay,53.3168,-60.3315,-21.83,54,20,3.6,CA,1706848124
21,floro,61.5996,5.0328,2.98,93,100,9.26,NO,1706848124
22,hermanus,-34.4187,19.2345,22.11,93,13,2.73,ZA,1706848124
23,port lincoln,-34.7333,135.8667,21.44,66,45,4.35,AU,1706848125
24,iqaluit,63.7506,-68.5145,-32.95,60,0,4.63,CA,1706848125
25,yellowknife,62.456,-114.3525,-12.55,95,100,4.63,CA,1706847997
26,port blair,11.6667,92.75,28.02,83,40,4.63,IN,1706848125
27,nago,26.5881,127.9761,26.19,69,17,3.68,JP,1706848125
28,ushuaia,-54.8,-68.3,6.81,70,20,12.86,AR,1706847906
29,yokadouma,3.5167,15.05,18.97,41,5,0.7,CM,1706848125
30,portland,45.5234,-122.6762,11.68,79,75,3.09,US,1706847601
31,la paz,-16.5,-68.15,11.43,72,75,2.57,BO,1706848126
32,alto araguaia,-17.3147,-53.2153,20.62,82,26,1.64,BR,1706848126
33,avarua,-21.2078,-159.775,30.03,74,29,2.57,CK,1706848126
34,kill devil hills,36.0307,-75.676,7.21,91,0,4.63,US,1706848126
35,college,64.8569,-147.8028,-33.44,70,75,1.54,US,1706848126
36,bamboo flat,11.7,92.7167,28.05,83,40,4.63,IN,1706848126
37,broken hill,-31.95,141.4333,31.15,18,0,7.08,AU,1706847861
38,puerto natales,-51.7236,-72.4875,8.01,84,100,0.71,CL,1706848126
39,longyearbyen,78.2186,15.6401,-9.09,73,75,4.12,SJ,1706848126
40,mejit,10.2753,170.8646,26.59,85,87,10.38,MH,1706848127
41,klyuchi,52.2667,79.1667,-6.01,87,100,5.48,RU,1706848127
42,st. john's,47.5649,-52.7093,-2.28,78,100,3.09,CA,1706848127
43,lompoc,34.6391,-120.4579,12.4,86,75,1.54,US,1706848127
44,ubata,-14.2139,-39.5228,19.43,99,58,0.82,BR,1706848127
45,stanley,54.868,-1.6985,9.32,84,20,13.38,GB,1706848127
46,cabras,39.93,8.5314,10.62,93,71,2.88,IT,1706848127
47,kapuskasing,49.4169,-82.4331,-16.95,84,0,1.03,CA,1706848127
48,dongfeng,42.6403,125.5118,-12.0,64,10,0.64,CN,1706848127
49,sisimiut,66.9395,-53.6735,-21.11,97,100,2.19,GL,1706848128
50,flying fish cove,-10.4217,105.6791,29.82,74,40,3.09,CX,1706848128
51,tsiombe,-25.3,45.4833,24.18,73,85,6.79,MG,1706848128
52,lincoln,40.8,-96.667,10.71,86,0,3.09,US,1706848058
53,san antonio de pale,-1.4014,5.6325,28.06,73,98,2.45,GQ,1706848128
54,ratne,51.6683,24.5303,0.55,88,72,6.37,UA,1706848128
55,puerto ayora,-0.7393,-90.3518,25.44,86,58,3.04,EC,1706848128
56,ormara,25.2088,64.6357,22.5,70,67,1.86,PK,1706848128
57,saint-joseph,-21.3667,55.6167,25.21,83,50,8.14,RE,1706848128
58,port elizabeth,-33.918,25.5701,20.61,98,100,1.54,ZA,1706848129
